Variable,M1: Null,M2: L1,M3: L1+L2,M4: RS Income,M5: IncomeĂ—Gini,M6: RS Ideology,M7: IdeologyĂ—Gini
Intercept,3.896***,3.848***,3.852***,3.853***,3.859***,3.849***,3.853***
age_c,,0.002***,0.002***,0.002***,0.002***,0.003***,0.003***
education_c,,-0.009***,-0.009***,-0.009***,-0.009***,-0.009***,-0.009***
employed,,0.024,0.024,0.024,0.024,0.026*,0.026*
female,,0.082***,0.082***,0.082***,0.081***,0.078***,0.078***
gdp_per_capita_z,,,-0.051,-0.040,-0.040,0.044,0.043
gini_z,,,0.063,0.006,0.068,0.024,0.082
ideology_c,,-0.084***,-0.084***,-0.083***,-0.083***,-0.081***,-0.079***
ideology_c:gini_z,,,,,,,0.028*
income_c,,-0.041***,-0.041***,-0.040***,-0.039***,-0.039***,-0.039***
income_c:gini_z,,,,,0.012**,,
meritocracy_index_c,,0.110***,0.110***,0.108***,0.108***,0.095***,0.095***
political_trust_c,,-0.025***,-0.025***,-0.025***,-0.025***,-0.027***,-0.027***
unemployment_rate_z,,,0.019,0.027,0.024,0.054,0.054
